,job_title,company,job_description
0,Research Associate (Computer Science/Information Systems) (R00007704),Nanyang Technological University,"['Carry out research in the field of recommendation system, text mining, multimodal representation learning, self-supervised learning'
 'Help to prepare and submit project proposals related to recommendation systems and multimodal data mining'
 'Mentor research assistants and students involved in the projects'
 'Write papers and reports based on the requirements of the projects'
 ""Master's degree in Computer Science, Information Systems, or related areas""
 'Research/working experiences on recommendation systems, natural language processing, and/or image/video processing'
 'Strong programming skills in Python'
 'Familiar with PyTorch and/or Tensorflow']"
1,Linux Engineer,Horizon Manpower Service,"['Proactively maintain and develop all Linux infrastructure technology to maintain a 24x7x365 uptime service'
 'Engineering of systems administration-related solutions for various project and operational needs'
 'Maintain best practices on managing systems and services across all environments'
 'Fault finding, analysis and of logging information for reporting of performance exceptions'
 'Proactively monitoring system performance and capacity planning'
 'Manage, coordinate, and implement software upgrades, patches, hotfixes on servers, workstations, and network hardware'
 'Create and modify scripts or applications to perform tasks'
 'Provide input on ways to improve the stability, security, efficiency, and scalability of the environment'
 'Collaborate with other teams and team members to develop automation strategies and deployment processes'
 'Previous working experience as a Linux Engineer for 2 year'
 ""Bachelor's degree in Computer Science, Information Systems or similar relevant degree""
 'IN depth knowledge of Linux: RedHat, CentOS, Debian, etc.'
 'Hands-on experience with MySQL and/or MariaDB'
 'Familiarity with VMWare and SAN management and concepts'
 'Solid knowledge of protocols such as DNS, HTTP, LDAP, SMTP and SNMP'
 'Additional Linux certifications (RHCT, RHCE and LPIC) will be considered an advantage'
 'Strong problem solving and communication skills']"
2,Project Manager - Management Information Systems (MIS),Singapore Indian Development Association (SINDA),"['Study, recommend and implement a cybersecurity managed detection and response solution for SINDA'
 'Review SINDA’s information governance requirements and develop requirements for an information governance audit'
 'Review SINDA’s cybersecurity audit and web vulnerability assessment results and work with auditors and vendors to implement remedial action'
 'Develop and rollout a framework for cybersecurity awareness training'
 'Carry out procurement activities related to cybersecurity and manage vendors to deliver services'
 'Monitor, control and provide management updates on cyber security initiatives'
 'Work with KM taskforce and consultants where applicable\xa0to understand gaps in KM'
 'Establish a knowledge management platform to encourage exchange and retention of resources within the organisation'
 'Develop standardised framework, approach, process and guideline to document repository management'
 'Review integration with other existing platforms and ensure ease of accessibility'
 'Develop campaign to ensure adoption of knowledge management platform'
 'Work with front-line staff to understand high-volume contact areas and identify candidates for process automation and self-service'
 'Develop requirements for process automation and self-service for discussion and approval by management'
 'Carry out procurement activities\xa0and manage vendors to deliver services'
 'Monitor, control and provide management updates on initiatives\xa0'
 'As part of the SINDA MIS team, participate and contribute to the planning of IT initiatives'
 'Participate in knowledge sharing sessions with the MIS teams\xa0'
 'Project management, needs and requirements analysis, facilitation, communications, decision making, problem-solving, resource management, interpersonal skills, influencing skills, and stakeholder management'
 'Ability to plan, multi-task and is meticulous'
 'Degree in IT or Computer Science' 'PMP Certification preferred'
 'Minimum 5 years of experience in IT and 3 years in Project Management'
 'Experience in, Cybersecurity and Robotic Process Automation'
 'Experience in Cloud Computing or IT infrastructure management will be an advantage']"
3,Senior Information Systems (IT) Auditor,KULICKE & SOFFA PTE. LTD.,"['Prepares and reviews audit planning documents, procedures and final reports;'
 'Ensure audits conducted include assessment of complex functionalities and output of various IT systems, services, applications and platforms for compliance with corporate policies and procedures and industry best practices;'
 'Reviews the system development life cycle projects for cost, timeliness and achievement of stated business objectives;'
 'Performs SOX ITGC testing;'
 'Identifies opportunities for control improvement in pre/post-implementation of IT systems, upgrades and other change events;'
 'Develops and presents the IT audit plan; conducts annual IT risk assessment as part of annual audit plan;'
 'Performs regular follow-up audits on non-compliant or high-risk breaches; promotes consistent method of improvement for IT governance, security and operational excellence across Companies;'
 'Works closely with Department Manager and interacts with external auditors as required;'
 'Stays abreast of relevant IT developments, implementations and standards in security and governance, as well as the relevant corporate policies;'
 'Completes special projects as requested by Management and/or the Audit Committee.'
 'Degree in IT-related or Business field;'
 'At least 6-8 years of work experience including 5 years of IT audit related work;'
 'Experience in auditing of internal controls in accordance with Sarbanes-Oxley requirements a plus;'
 'Extensive knowledge of auditing standards (including IIA Standards, COBIT), generally accepted accounting principles and internal control systems (IT and non-IT related);'
 'Some experience with Operational / Financial Audits is desired;'
 'Professional qualification of CIA / CISA will be advantageous;'
 'Willing to travel (up to 30%) when possible'
 'Possess analytical skills and thrives in a fast-paced dynamic working environment.'
 'Organized and resourceful in obtaining required information to ensure accuracy of data.'
 'Self-driven and collaborative individual with good communication and interpersonal skills.'
 'Has exceptional communication and reporting skill on both verbal and written; and has a quick eye for even the smallest details,'
 'Ability to work independently with minimal supervision as well as a team player.']"
4,Information Technology Engineer [System Integrator / Systems Setup / IT],The Supreme HR Advisory Pte Ltd,"['To perform post sales installation of products/solutions that we are carrying'
 'Technical documentation for installed products'
 '\xa02-3 years working as a post-sales deployment network/systems/security engineer either in System Integrator/I.T Distributor.'
 'Education: NITEC and above' 'Able to work independently or as a team'
 'Willing to put in effort to learn new products/solutions'
 'Able to converse and communicate with customers'
 'Familiar with Systems Setup such as Active Directory, DNS, DHCP, Server OS'
 'Familiar with deployment of firewall appliances'
 'Familiar with deployment of end point solutions such as Mcafee, Trend Micro will be a bonus'
 'Familiar with deployment of Identity and Access Management solutions will be a bonus'
 'Ability to troubleshoot technical issues with minimal supervision']"
5,Information Technology - Asst Manager/Snr Systems Engineer (IT Ops and Service Mgmt),SINGAPORE AIRLINES LIMITED,"['Manage, develop, enhance and support company’s IT Service management platform. Drive strategic development and enhance its usability and integration with other tools and process to maximise value.'
 'Drive IT Operational Service Delivery and management activities, e.g. Incident, Problem, Change, Patch, Configuration and Asset management processes. This includes support of IT operational incidents after office hours.'
 'Support management and drive collaboration of day to day operational activities across various towers and stakeholders from datacentre facilities, network and platforms'
 'Manage and drive the IT Service Provider’s performance for IT Operations and ensure Service Level Agreements have been fulfilled and improvement plans to be established'
 'Serve as the Point of Contact for IT initiatives’ performance, services and changes.'
 'Facilitate system and service handover to the IT operations for any new applications and major enhancements'
 'Any relevant ad-hoc duties'
 'Degree in IT related discipline & IT Infrastructure Library (ITIL) Certification'
 'Minimum 5 – 8 yrs of relevant experience in IT Infrastructure Operations and IT Service Management'
 'Experienced in project management for IT Infrastructure initiatives, scripting, system admin capabilities, service automation and related technologies.'
 'Knowledge of actual development and Hands-on administration on ServiceNow Platform. Certification in ServiceNow ITSM CAS, CAD or CIS preferred'
 'Knowledge in scripting on Json, Python or Javascript on Monitoring / Orchestration platforms, Splunk, ServiceNow or APM tool will be an added advantage'
 'Working knowledge on network, IT DevOps technologies, Linux, Wintel, VMware and Cloud technologies (AWS / Azure)'
 'Knowledge and experience in DevOps and Agile'
 'Responsive to dynamic environment'
 'Effective & Excellent Skills in Communication (both written and spoken) as well as Vendor and People/Relationship Management'
 'User-Oriented with good appreciation of business operations'
 'Diligent and willing to work beyond office hours'
 'Independent, Self-motivated and result driven']"
6,Information Technology Executive,Q'Son Kitchen Equipment Pte Ltd,"['Provide in-house IT Support including day-to-day operations, monitoring and problem resolution.'
 'Perform Project management of IT initiatives'
 'Oversee new system facilitation, current system enhancement'
 'Manage internal/external application upgrades.'
 'Manage external vendors relationships and services.'
 'Troubleshoot issues with IT Infrastructure'
 'Perform basic server administration.'
 'Problem solving, troubleshooting & user support'
 'Liaising with various external vendor solution providers'
 'Diploma or Degree in IT, Computer Science or its relevant equivalent'
 'No experience required'
 'Ability to work independently, analytical and self-motivated'
 'Good analytical, logical and problem-solving skills'
 'Good interpersonal and communication skills']"
7,Information Technology - Scrum Master (Pax Servicing and Day of Travel Exp Systems),SINGAPORE AIRLINES LIMITED,"['Lead and manage assigned suite of applications/products and initiatives for SIA Customer Service and operation Division.'
 'Review and analyze business requirements. Liaise with Business users on Business process reviews and improvements.'
 'Propose IT solutions that are aligned to the Enterprise Architecture and Digital roadmap.'
 'Liaise with vendors for implementation of enhancements and track prompt resolution of system issues.'
 'Manage the overall delivery of IT projects. Anticipate any potential issues that might impact the project. Track and report project status to project steering committees.'
 'Ensure that the processes and procedures are followed for audit compliance.'
 'Conduct regular review of application portfolio and technical landscape to identify redundancy and operational inefficiency, and to recommend and implement improvements.'
 'Monitor the product roadmap for periodic upgrades. Assist the business in the budgetary sizing of their IT plans.'
 'Track and identify feasible airline applications and technologies for potential adoption by business.'
 'Any relevant ad-hoc duties.' 'This is an individual contributor role.'
 'Degree in Information Technology or related fields.'
 'Experience in Agile methodologies and completed at least 3 major projects (Certification scrum master is a plus).'
 'Experience in Design Thinking and Business Process Review.'
 'Strong analytical, project and vendor management skills (certification for PMP, etc, is a plus)'
 'Excellent communications and interpersonal skills.'
 'Experience in integration architecture, java, CI/CD and TDD/BDD.'
 'Experience in Airline domain/projects (reservation and Departure control) and, awareness on the airline industry standards and technology trends.']"
8,Information Systems Security Analyst,Interpol,[]
9,Information Technology - Systems Engineer (EUC Architecture),SINGAPORE AIRLINES LIMITED,"['Oversee and manage IT Infrastructure used for delivering End User Computing (EUC) services, which includes authentication and authorisation services, single sign-on, remote access, messaging and collaboration, enterprise mobility services, desktop and applications virtualization, end-point security, software distribution and patch management, file and print services, and enterprise back-up.'
 'Provide technical expertise, and responsible for planning, designing and architecting IT solutions.'
 'Oversee end-to-end implementation of IT solutions, along with change management activities.'
 'Conduct proof of concepts to assist in defining technology direction that enable employee productivity.'
 'Review performance of EUC services with IT service providers, provide recommendations, and oversee resolution of operational issues.'
 'Provide third level support for incidents and problems in designated areas of expertise.'
 'Any relevant ad-hoc duties.' 'This is an individual contributor role.'
 'Degree in computer engineering, computer science or equivalent.'
 '5 – 7 years of experience in a managing IT infrastructure.'
 'Broad technology experience encompassing architecture, infrastructure, and IT operations.'
 'Ability to apply the latest technology best practices and trends in delivering IT services, and in establishing the overall direction and control of the IT function.'
 'Ability to produce technical design for an IT solution, and develop strategy for implementation.'
 'Good working knowledge in Desktop Virtualization & Nutanix Hyper-Converged Infrastructure.'
 'Good working knowledge in Active Directory, DNS/DHCP, SMTP, Single Sign-On, LDAP/LDAPS, Clientless VPN and IP Sec VPN, 2 Factor Authentication, Anti-malware and Anti-spam, Encryption, Enterprise back-up, Office 365, Windows Server and IIS, and Citrix.A good understanding of Software Development Life Cycle, Project Management, and Vendor Management.'
 'Enterprise Architecture or Microsoft Certification preferred.'
 'Exposure to ITIL v3 (Incident, Problem & Change management) preferred.'
 'Ability to work independently, multi-task, and take ownership.'
 'Excellent Communication – verbal and written.']"
